Unnamed: 0,text_1,score
675,proses angkut sampah lambat bikin bau sedap,positif
676,sampah orang buang sampah sembarang,negatif
677,sampah plastik dominasi solusi efektif,positif
678,sampah sera pinggir jalan ganggu,netral
679,kerjasama warga bersih lingkung kuat,positif
680,kelola sampah makassar tingkat,negatif
681,sosialisasi daur ulang sampah tingkat,negatif
682,program edukasi daur ulang masyarakat,netral
683,program kelola sampah efektif,positif
684,sampah plastik hasil,negatif
685,ubah kelola sampah,negatif
686,program kelola sampah efektif,positif
687,sadar masyarakat rendah buang sampah sembarang,positif
688,ubah kelola sampah,negatif
689,senang bank sampah lingkung,positif
690,tingkat kelola sampah kota,negatif
691,proses angkut sampah lambat bikin bau sedap,positif
692,sampah sungai tindak nyata,negatif
693,sampah plastik hasil,negatif
694,program edukasi daur ulang masyarakat,netral
695,tumpu sampah angkut bermingguminggu,netral
696,tingkat kelola sampah kota,negatif
697,kelola sampah makassar tingkat,negatif
698,sadar masyarakat sampah sosialisasi,positif
699,sosialisasi daur ulang sampah tingkat,negatif
700,sampah mudah masyarakat,positif
701,kampanye kelola sampah bagus masyarakat,positif
702,sampah mudah masyarakat,positif
703,program kelola sampah efektif,positif
704,moga tingkat fasilitas kelola sampah lingkung,negatif
705,senang bank sampah lingkung,positif
706,ubah kelola sampah,negatif
707,bank sampah langkah edukasi,positif
708,sadar masyarakat sampah sosialisasi,positif
709,bank sampah dorong jaga lingkung,negatif
710,sadar masyarakat rendah buang sampah sembarang,positif
711,program kelola sampah makassar bagus bantu,positif
712,kampanye kelola sampah bagus masyarakat,positif
713,proses angkut sampah lambat bikin bau sedap,positif
714,sadar masyarakat rendah buang sampah sembarang,positif
715,sampah plastik hasil,negatif
716,sosialisasi daur ulang sampah tingkat,negatif
717,sampah sungai tindak nyata,negatif
718,regulasi sampah plastik,negatif
719,sampah mudah masyarakat,positif
720,sosialisasi daur ulang sampah tingkat,negatif
721,sampah plastik dominasi solusi efektif,positif
722,tingkat kelola sampah kota,negatif
723,sampah plastik hasil,negatif
724,bank sampah dorong jaga lingkung,negatif
725,bank sampah langkah edukasi,positif
726,sampah plastik hasil,negatif
727,kerjasama warga bersih lingkung kuat,positif
728,harap kelola sampah,negatif
729,program kelola sampah efektif,positif
730,program edukasi sampah plastik manfaat,negatif
731,sadar masyarakat sampah sosialisasi,positif
732,kerjasama warga bersih lingkung kuat,positif
733,sampah plastik hasil,negatif
734,kampanye kelola sampah bagus masyarakat,positif
735,moga perintah konsisten kelola sampah kota,positif
736,senang bank sampah lingkung,positif
737,sampah plastik hasil,negatif
738,sosialisasi daur ulang sampah tingkat,negatif
739,sampah sungai tindak nyata,negatif
740,moga tingkat fasilitas kelola sampah lingkung,negatif
741,sadar masyarakat rendah buang sampah sembarang,positif
742,bank sampah dorong jaga lingkung,negatif
743,ubah kelola sampah,negatif
744,proses angkut sampah lambat bikin bau sedap,positif
745,moga perintah konsisten kelola sampah kota,positif
746,bank sampah langkah edukasi,positif
747,program edukasi sampah plastik manfaat,negatif
748,senang bank sampah lingkung,positif
749,sadar masyarakat rendah buang sampah sembarang,positif
750,sampah plastik kelola,negatif
751,senang bank sampah lingkung,positif
752,proses angkut sampah lambat bikin bau sedap,positif
753,sampah orang buang sampah sembarang,negatif
754,sadar masyarakat sampah sosialisasi,positif
755,moga tingkat fasilitas kelola sampah lingkung,negatif
756,kelola sampah makassar tingkat,negatif
757,moga perintah konsisten kelola sampah kota,positif
758,senang bank sampah lingkung,positif
759,moga perintah konsisten kelola sampah kota,positif
760,program kelola sampah efektif,positif
761,sampah plastik dominasi solusi efektif,positif
762,tingkat kelola sampah kota,negatif
763,sampah plastik hasil,negatif
764,program edukasi sampah plastik manfaat,negatif
765,bank sampah langkah edukasi,positif
766,bank sampah langkah edukasi,positif
767,sampah sera pinggir jalan ganggu,netral
768,sosialisasi daur ulang sampah tingkat,negatif
769,proses angkut sampah lambat bikin bau sedap,positif
770,ubah kelola sampah,negatif
771,sosialisasi daur ulang sampah tingkat,negatif
772,proses angkut sampah lambat bikin bau sedap,positif
773,sampah sera pinggir jalan ganggu,netral
774,proses angkut sampah lambat bikin bau sedap,positif
775,sampah orang buang sampah sembarang,negatif
776,program kelola sampah makassar bagus bantu,positif
777,program lingkung wilayah,netral
778,sampah sera pinggir jalan ganggu,netral
779,sosialisasi daur ulang sampah tingkat,negatif
780,regulasi sampah plastik,negatif
781,program lingkung wilayah,netral
782,sampah sungai tindak nyata,negatif
783,proses angkut sampah lambat bikin bau sedap,positif
784,moga tingkat fasilitas kelola sampah lingkung,negatif
785,tingkat kelola sampah kota,negatif
786,kampanye kelola sampah bagus masyarakat,positif
787,kerjasama warga bersih lingkung kuat,positif
788,regulasi sampah plastik,negatif
789,perintah serius tangan sampah kota,negatif
790,regulasi sampah plastik,negatif
791,sadar masyarakat sampah sosialisasi,positif
792,sampah orang buang sampah sembarang,negatif
793,sampah sungai tindak nyata,negatif
794,moga perintah konsisten kelola sampah kota,positif
795,sampah plastik dominasi solusi efektif,positif
796,program lingkung wilayah,netral
797,kampanye kelola sampah bagus masyarakat,positif
798,moga tingkat fasilitas kelola sampah lingkung,negatif
799,moga tingkat fasilitas kelola sampah lingkung,negatif
800,sosialisasi daur ulang sampah tingkat,negatif
801,kelola sampah makassar tingkat,negatif
802,senang bank sampah lingkung,positif
803,bank sampah dorong jaga lingkung,negatif
804,harap kelola sampah,negatif
805,program kelola sampah makassar bagus bantu,positif
806,harap kelola sampah,negatif
807,sampah orang buang sampah sembarang,negatif
808,moga tingkat fasilitas kelola sampah lingkung,negatif
809,regulasi sampah plastik,negatif
810,sampah plastik dominasi solusi efektif,positif
811,tumpu sampah angkut bermingguminggu,netral
812,sampah plastik dominasi solusi efektif,positif
813,kerjasama warga bersih lingkung kuat,positif
814,ubah kelola sampah,negatif
815,sampah sera pinggir jalan ganggu,netral
816,moga perintah konsisten kelola sampah kota,positif
817,sadar masyarakat rendah buang sampah sembarang,positif
818,sampah orang buang sampah sembarang,negatif
819,kelola sampah makassar tingkat,negatif
820,sampah sera pinggir jalan ganggu,netral
821,kelola sampah makassar tingkat,negatif
822,sampah mudah masyarakat,positif
823,tumpu sampah angkut bermingguminggu,netral
824,sampah plastik dominasi solusi efektif,positif
825,program lingkung wilayah,netral
826,kampanye kelola sampah bagus masyarakat,positif
827,program edukasi sampah plastik manfaat,negatif
828,kelola sampah makassar tingkat,negatif
829,bank sampah dorong jaga lingkung,negatif
830,tingkat kelola sampah kota,negatif
831,bank sampah langkah edukasi,positif
832,ubah kelola sampah,negatif
833,sampah plastik hasil,negatif
834,program edukasi daur ulang masyarakat,netral
835,sampah sera pinggir jalan ganggu,netral
836,sampah plastik dominasi solusi efektif,positif
837,senang bank sampah lingkung,positif
838,sampah sungai tindak nyata,negatif
839,sampah plastik dominasi solusi efektif,positif
840,perintah serius tangan sampah kota,negatif
841,kelola sampah makassar tingkat,negatif
842,tumpu sampah angkut bermingguminggu,netral
843,bank sampah dorong jaga lingkung,negatif
844,perintah serius tangan sampah kota,negatif
845,perintah serius tangan sampah kota,negatif
846,sampah mudah masyarakat,positif
847,harap kelola sampah,negatif
848,harap kelola sampah,negatif
849,program kelola sampah efektif,positif
850,program kelola sampah efektif,positif
851,program kelola sampah efektif,positif
852,tumpu sampah angkut bermingguminggu,netral
853,sadar masyarakat sampah sosialisasi,positif
854,program lingkung wilayah,netral
855,program edukasi daur ulang masyarakat,netral
856,program edukasi sampah plastik manfaat,negatif
857,sosialisasi daur ulang sampah tingkat,negatif
858,sampah plastik hasil,negatif
859,program edukasi sampah plastik manfaat,negatif
860,moga tingkat fasilitas kelola sampah lingkung,negatif
861,sampah sera pinggir jalan ganggu,netral
862,sampah sera pinggir jalan ganggu,netral
863,tingkat kelola sampah kota,negatif
864,bank sampah dorong jaga lingkung,negatif
865,kelola sampah makassar tingkat,negatif
866,tumpu sampah angkut bermingguminggu,netral
867,program kelola sampah makassar bagus bantu,positif
868,sosialisasi daur ulang sampah tingkat,negatif
869,sampah orang buang sampah sembarang,negatif
870,sadar masyarakat rendah buang sampah sembarang,positif
871,proses angkut sampah lambat bikin bau sedap,positif
872,kampanye kelola sampah bagus masyarakat,positif
873,program lingkung wilayah,netral
874,program lingkung wilayah,netral
875,sampah mudah masyarakat,positif
876,kerjasama warga bersih lingkung kuat,positif
877,tingkat kelola sampah kota,negatif
878,sampah orang buang sampah sembarang,negatif
879,kerjasama warga bersih lingkung kuat,positif
880,tingkat kelola sampah kota,negatif
881,perintah serius tangan sampah kota,negatif
882,tingkat kelola sampah kota,negatif
883,sampah plastik kelola,negatif
884,sampah orang buang sampah sembarang,negatif
885,program edukasi sampah plastik manfaat,negatif
886,moga tingkat fasilitas kelola sampah lingkung,negatif
887,sampah mudah masyarakat,positif
888,kampanye kelola sampah bagus masyarakat,positif
889,bank sampah langkah edukasi,positif
890,tingkat kelola sampah kota,negatif
891,program edukasi sampah plastik manfaat,negatif
892,ubah kelola sampah,negatif
893,harap kelola sampah,negatif
894,bank sampah langkah edukasi,positif
895,sampah orang buang sampah sembarang,negatif
896,sosialisasi daur ulang sampah tingkat,negatif
897,sadar masyarakat rendah buang sampah sembarang,positif
898,regulasi sampah plastik,negatif
899,perintah serius tangan sampah kota,negatif
900,sampah plastik dominasi solusi efektif,positif
901,program kelola sampah makassar bagus bantu,positif
902,harap kelola sampah,negatif
903,program kelola sampah makassar bagus bantu,positif
904,tingkat kelola sampah kota,negatif
905,sadar masyarakat sampah sosialisasi,positif
906,bank sampah dorong jaga lingkung,negatif
907,sampah plastik hasil,negatif
908,program kelola sampah efektif,positif
909,sadar masyarakat sampah sosialisasi,positif
910,kelola sampah makassar tingkat,negatif
911,program kelola sampah makassar bagus bantu,positif
912,sosialisasi daur ulang sampah tingkat,negatif
913,kampanye kelola sampah bagus masyarakat,positif
914,program kelola sampah efektif,positif
915,tingkat kelola sampah kota,negatif
916,sampah plastik kelola,negatif
917,sampah mudah masyarakat,positif
918,tingkat kelola sampah kota,negatif
919,sampah sera pinggir jalan ganggu,netral
920,sampah sungai tindak nyata,negatif
921,ubah kelola sampah,negatif
922,kerjasama warga bersih lingkung kuat,positif
923,sampah plastik kelola,negatif
924,perintah serius tangan sampah kota,negatif
925,kampanye kelola sampah bagus masyarakat,positif
926,program kelola sampah efektif,positif
927,program kelola sampah efektif,positif
928,moga perintah konsisten kelola sampah kota,positif
929,program edukasi sampah plastik manfaat,negatif
930,sampah sungai tindak nyata,negatif
931,sosialisasi daur ulang sampah tingkat,negatif
932,program edukasi sampah plastik manfaat,negatif
933,moga perintah konsisten kelola sampah kota,positif
934,sampah plastik dominasi solusi efektif,positif
935,tumpu sampah angkut bermingguminggu,netral
936,sosialisasi daur ulang sampah tingkat,negatif
937,program kelola sampah efektif,positif
938,sampah plastik kelola,negatif
939,program edukasi sampah plastik manfaat,negatif
940,senang bank sampah lingkung,positif
941,tingkat kelola sampah kota,negatif
942,tingkat kelola sampah kota,negatif
943,ubah kelola sampah,negatif
944,harap kelola sampah,negatif
945,moga tingkat fasilitas kelola sampah lingkung,negatif
946,sampah plastik kelola,negatif
947,sampah plastik dominasi solusi efektif,positif
948,tingkat kelola sampah kota,negatif
949,senang bank sampah lingkung,positif
950,program kelola sampah makassar bagus bantu,positif
951,moga tingkat fasilitas kelola sampah lingkung,negatif
952,program edukasi daur ulang masyarakat,netral
953,kelola sampah makassar tingkat,negatif
954,sampah orang buang sampah sembarang,negatif
955,kelola sampah makassar tingkat,negatif
956,kampanye kelola sampah bagus masyarakat,positif
957,sampah sera pinggir jalan ganggu,netral
958,bank sampah langkah edukasi,positif
959,program lingkung wilayah,netral
960,harap kelola sampah,negatif
961,program edukasi daur ulang masyarakat,netral
962,sadar masyarakat sampah sosialisasi,positif
963,kelola sampah makassar tingkat,negatif
964,program lingkung wilayah,netral
965,ubah kelola sampah,negatif
966,program edukasi daur ulang masyarakat,netral
967,sampah plastik kelola,negatif
968,sadar masyarakat sampah sosialisasi,positif
969,program edukasi sampah plastik manfaat,negatif
970,bank sampah langkah edukasi,positif
971,bank sampah dorong jaga lingkung,negatif
972,moga perintah konsisten kelola sampah kota,positif
973,sosialisasi daur ulang sampah tingkat,negatif
974,bank sampah dorong jaga lingkung,negatif
975,sosialisasi daur ulang sampah tingkat,negatif
976,kelola sampah makassar tingkat,negatif
977,tumpu sampah angkut bermingguminggu,netral
978,sampah sungai tindak nyata,negatif
979,regulasi sampah plastik,negatif
980,proses angkut sampah lambat bikin bau sedap,positif
981,moga tingkat fasilitas kelola sampah lingkung,negatif
982,sampah sungai tindak nyata,negatif
983,sampah plastik dominasi solusi efektif,positif
984,proses angkut sampah lambat bikin bau sedap,positif
985,harap kelola sampah,negatif
986,regulasi sampah plastik,negatif
987,program edukasi daur ulang masyarakat,netral
988,kerjasama warga bersih lingkung kuat,positif
989,ubah kelola sampah,negatif
990,sadar masyarakat rendah buang sampah sembarang,positif
991,sadar masyarakat rendah buang sampah sembarang,positif
992,perintah serius tangan sampah kota,negatif
993,program lingkung wilayah,netral
994,kampanye kelola sampah bagus masyarakat,positif
995,sampah mudah masyarakat,positif
996,program edukasi sampah plastik manfaat,negatif
997,program kelola sampah efektif,positif
998,kerjasama warga bersih lingkung kuat,positif
999,sampah kost angkut pekan,netral
1000,proses olah sampah pilih efisien masyarakat golong primitif konteks andil olah sampah,negatif
1001,,netral
1002,daur ulang sampah anorganik,negatif
1003,tampung padan,netral
1004,bersih sudutsudut nya sampah kolom tol orang kalo malam sampah plastik,positif
1005,sadar masyarakat makassar kelola sampah renda sampah sulit kendali urai masyarakat buang sampah sembarang cari lingkung,negatif
1006,sampah kota cinta tonton sampah masuk buang sadar wabah sakit gunung sampah inovasi kait kelola sampah usaha tanggulang plastik cipta lingkung bersih,positif
1007,hambur,netral
1008,sampah makassar serius rumit kota kelola sampah makassar alami kendala sadar masyarakat buang sampah fasilitas infrastruktur kelola sampah,negatif
1009,cari lingkung,netral
1010,resah daerah objek bagus sampah cecer tumpuk sudut pinggir jalan toko rusak pandang daerah truck truck angkut sampah kemudi ugal ugalan sampah angkut bangan jalan tindak perintah kota makassar kumuh,negatif
1011,sampah buang sembarang rusak pandang kota makassar bau sedap,positif
1012,kelola sampah makassar buruk sampahsampah sera manamana,negatif
1013,serah,netral
1014,sadar masyarakat mem sampah dukung upaya daur ulang tingkat,positif
1015,kelola sampah makassar organisir sistem kumpul sampah fasilitas sampah ruang publik mudah akses perintah kuat sistem pilah sampah organik nonorganik,positif
1016,kategori kota kelola sampah titik orang lalai buang sampah sembarang,negatif
1017,ganggu nyaman,positif
1018,sampah buang sadar orang ramai tingkat,positif
1019,makassar sadar masyarakat buang sampah,negatif
1020,sampah makassar sdh bau menganggu hujan pilih bupati program kerja solusi sampahsampah sera pinggir jalan,negatif
1021,angka sampah makassar bilang resah ulah manusia peduli lingkung,negatif
1022,rusak pandang bau sedap banjir level rendah sakit cari lingkung,negatif
1023,resah jalan ganggu bau musim hujan,netral
1024,perhati perintah sadar masyarakat tingkat langsung jangka,positif
1025,kota makassar milik serius kelola sampah milik strategi efektif tangan kapasitas tingkat volume sampah bahaya sehat masyarakat makassar harga adipura tumpu sampah optimal tangan sampah kota upaya bank sampah edukasi partisipasi masyarakat sampah pisah kelola sumber,positif
1026,warga tdk buang sampah,netral
1027,buruh,netral
1028,iya,netral
1029,sampah makassar serius sampah sera cermin sadar masyarakat perintah usaha kelola sampah tantang fasilitas kelola batas rendah partisipasi masyarakat peluang edukasi kolaborasi pilah sampah daur ulang plastik,negatif
1030,ganggu,netral
1031,volume sampah kota makassar tingkat upaya olah sampah tpa antang alami over kapasitas,negatif
1032,buang sampah sembarang,netral
1033,area makassar banayak sampah sera sadar masyarakat dalammembuang smpah,positif
1034,kait sampah kota makassar berfikir didik dasar ajar matang sekolah berfikir sembari bersih sampah kota bagus sanding edukasi ter arah,positif
1035,masyarakat sadar buang sampah sembarang sebaikknya warga daur ulang sampah habis pakai perintah buang,positif
1036,dampak buruk masyarakat warga lewatbisa akibat macet parah akibat lingkung cemar tolong masyarakat buang sampah sembarangankasihan cemar lingkung orang,negatif
1037,sera,netral
1038,kelola sampah masyarakat sadar buang sampah sampah,positif
1039,prihatin kritis,netral
1040,sampah makassar kendali musim hujan,negatif
1041,sessajki,netral
1042,warga makassar minim kebersihansehingga sampah cecer,netral
1043,tangan sampah makassar hadap kritik tajam kait kondisi buang tpa antang over kapasitas walhi nilai pemkot makassar milik strategi efektif volume sampah tingkat,positif
1044,komentar kait sampah makassar pantai makassar sampah sera dimanamana,netral
1045,moga aplikasi sampah jalan,negatif
1046,sera,netral
1047,mantap,positif
1048,gera perintah sedia buang sampah edukasi masyarakat kait sadar buang sampah sesuai,positif
1049,optimal olah sampah,negatif
1050,sera,netral
1051,buang sampah kontrol kadang warga koskosan buang sampah pinggir jalan pinggir got sampahsampah ganggu sadar masyarakat jaga bersih,positif
1052,perintah menghimbau masyarakat buang sampah sembarang daerah makassar daerah akibat sampah sera salur air sumbat banjir ujung ujung perintah salah masyarakat sadar,negatif
1053,laku bersih lingkung pertisipasi perintah,positif
1054,buruk,negatif
1055,sampah makassar kota serius perhati produksi sampah kota tingkat infrastruktur sistem kelola sampah timbun sampah jalan sungai dampak buruk lingkung sehat masyarakat,negatif
1056,sampah makassar isu desak perhati tindak nyata kota bersih cermin masyarakat peduli lingkung sadar jaga bersih sepenuh terap timbun sampah jalan pasar sungai tantang kelola sampah,positif
1057,sampah makassar isu krusial perhati tindak cepat timbun sampah sistem kelola sampah kota makassar milik sadar masyarakat buang sampah minim fasilitas pilah olah sampah kondisi,negatif
1058,sampah makassar tantang dampak langsung kualitas hidup masyarakat lingkung timbun sampah kelola cari udara udara buruk estetika kota lokasi pasar jalan utama area publik penuh sampah kendala kelola,negatif
1059,sampah makassar tantang kelola lingkung kota timbun sampah sudut kota cermin tingkat infrastruktur sadar masyarakat kondisi dampak negatif lingkung sehat nyaman estetika kota,positif
1060,pandang kelola sampah makassar sosialisasi kelola sampah organik nonorganik optimal dinas bersih kota makassar,negatif
1061,,netral
1062,moga sampahsampah tpu antang olah barangbarang keren sebar indonesia negeri lumayan dana dipake bangun stadion internasional makassar,positif
1063,makassar hadap tantang kelola sampah tingkat duduk aktivitas ekonomi kembang sampah kelola lingkung serius banjir cemar air rusa ekosistem,negatif
1064,temu dimanamana sampahsampah tumpuk salur air banjir musim hujan,negatif
1065,keri,netral
1066,terkadang masyarakat buah sampah sembarang lahan lahan kosong,negatif
1067,moga smpah olah tumpuk tpa,netral
1068,sampah makassar realisasi lihat sampah tumpu spot pinggir jalan bangun sampah sedia kotor jijik sampah inti sedia sampah sadar oknum jaga kebersihanitu terimakasih,negatif
1069,sadar masyarakat buang sampah sembarang tingkat gaji tukang sampah,positif
1070,sampah makassar sera pinggir jalan sungai orang buang sampah sembarang,negatif
1071,sampah urus sera manamana,netral
1072,darurat sampah,negatif
1073,sampah biar sera halaman undang kuman sakit pandang nampak kotor udara segar genang air biar nyamuk demam darah anak pinak,negatif
1074,sangatt sampah sera sadar duduk bersih lingkung duduk lahan kosong buang sampah pikir dampak manusia lingkung,positif
1075,sampah kelola makassar masyarakat masyarakat pilih buang sampah sembarang pikir dampak rugi orang tpa buang makassar luas area sampah tampung sedia sempit teknik olah nya bau timbul ganggu aktivitas orang,positif
1076,buruk sampah tumpuk timbul sakit bahaya,negatif
1077,sampah lambat ambil tugas bersih,negatif
1078,sampah makassar kompleks tantang duduk giat kota padat sadar masyarakat jaga bersih lingkung kontribusi produksi sampah kota salah aspek tingkat partisipasi masyarakat kelola sampah program daur ulang pilah sampah rumah tangga perintah kuat sistem kelola sampah sedia fasilitas buang sesuai kendara angkut sampah efektif bas edukasi solusi jangka edukasi dampak sampah lingkung sehat generasi muda dorong jangka,positif
1079,buruk sampah kelola,negatif
1080,tangan serius suluh perintah masyarakat dampak buang sampah sembarang manfaat masyarakat buang sampah,negatif
1081,hubung aktif pergi berbedabeda arti jaga bersih kunjung orang beda orang maksud parah kelola sampah orang suka bersih pungkiri daerah minim pindah manusia beda jarang tikus kecoa tanda sampah busuk diam samping spesifik daerah pampang perhati banding sekian daerah sekian,positif
1082,masyarakat sadar dampak buruk buang sampah sembarang sampah kota makassar memprihatikan sayaa ganggu mata jugaa bau nyaman hidung kitaa nya tau dampak buruk kualitas udara lingkung cemar,negatif
1083,sampah plastik dominasi solusi efektif,positif
1084,moga perintah konsisten kelola sampah kota,positif
1085,moga perintah konsisten kelola sampah kota,positif
1086,senang bank sampah lingkung,positif
1087,moga tingkat fasilitas kelola sampah lingkung,negatif
1088,regulasi sampah plastik,negatif
1089,sampah sera pinggir jalan ganggu,netral
1090,program kelola sampah efektif,positif
1091,program kelola sampah efektif,positif
1092,program lingkung wilayah,netral
1093,regulasi sampah plastik,negatif
1094,kerjasama warga bersih lingkung kuat,positif
1095,harap kelola sampah,negatif
1096,sadar masyarakat sampah sosialisasi,positif
1097,sadar masyarakat sampah sosialisasi,positif
1098,kerjasama warga bersih lingkung kuat,positif
1099,kerjasama warga bersih lingkung kuat,positif
1100,regulasi sampah plastik,negatif
1101,sampah sungai tindak nyata,negatif
1102,moga perintah konsisten kelola sampah kota,positif
1103,sadar masyarakat rendah buang sampah sembarang,positif
1104,moga perintah konsisten kelola sampah kota,positif
1105,program kelola sampah makassar bagus bantu,positif
1106,sadar sihh tindak perintah kait,positif
1107,sampah sera makassar kayak butuh tim pandawa bantu bersih sampah makassar,positif
1108,hambur pinggir jalan raya program olah sampah banyumas sedia sampah titik material contoh pasar,negatif
1109,sampah makassar kelola sadar dampak buang sampah sembarang lingkung tinggal,negatif
1110,sampah atur manfaat akibat rugi,negatif
1111,ganggu,netral
1112,bank sampah langkah edukasi,positif
1113,sampah makassar kota isu perhati kait sadar masyarakat kelola sampah infrastruktur kelola sampah perintah kota makassar usaha program kelola sampah tantang hadap sistem daur ulang optimal volume sampah hasil salah solusi perhati edukasi masyarakat mem sampah tingkat fasilitas kumpul sampah kuat kerja sektor swasta kelola sampah organik nonorganik manfaat teknologi kelola sampah kembang ruang buka hijau langkah cipta kota bersih ramah lingkung upaya kelola sampah makassar butuh komitmen jangka perintah masyarakat sektor swasta,negatif
1114,syaa sampah makassar ti berserkan pinggir jalan ganggu aktivitas masyarakat bau sengat,negatif
1115,sampah dimakassar tumpuk tepi jalan akibat bau sedap jalan,negatif
1116,sampah makassar isu serius pengaruh kualitas lingkung hidup warga kota volume sampah fasilitas pemrosesan sampah tumpu sampah ganggu risiko cari udara tanah air ganggu sehat masyarakat,negatif
1117,limpah urus,positif
1118,sampah makassar kota kompleks faktor utama tumbuh populasi pesat sadar masyarakat kelola sampah batas infrastruktur olah sampah,negatif
1119,sampah makassar lumayan parah butuh paham masyarakat buang sampah sembarang himbau perintah sedia sampah sampah sera,negatif
1120,bersih kotor orang buang sampah sembarangn akibat sampah sera penyabab banjir,negatif
1121,sampah sera makassar nyaman peduli sampah sera,netral
1122,tau tpa antang tmpt sampah kitatetapi daerah daerah buang sampah sembarang pinggir jalanaliran sungai sungai cemar baud prlu sadar buang sampah sembarang sampah mudah daur ulang kembaliharapan moga kota makassar bersih nya jaga bersih sampah sera,positif
1123,kait sampah makassar isu kompleks dampak luas nya sadar masyarakat mem sampah buang sampah masyarakat makassar milik tanggung sadar masyarakat mem sampah cipta lingkung bersih sehat,negatif
1124,sampah dimakasar sera masyarakat tau buang ambil sampah sampah terkadang buang pinggir jalan,netral
1125,paham sampah masyarakat sembarang buang bersih nya nya sera jalan bau sedap,negatif
1126,sadar masyarakat makassar buang sampah sembarang sampah dimakassar,negatif
1127,kelola tumpuk bukit,netral
1128,sera sadar warga makassar buang sampah tempatnyayang mrngaakibatkan sampah sera jalan,positif
1129,kurangnyaa masyarakat jaga bersih sampahh tumpu sampah jalan,netral
1130,cari sungai hambat proses air tanah sampah cari tanah sehat,positif
1131,sampah makassar desak tumpu sampah ganggu lingkung sehat masyarakat sadar masyarakat buang sampah batas infrastruktur kelola buruk situasi butuh kerja perintah warga tingkat sadar optimal kelola terap sistem daur ulang kota makassar bersih sehat,positif
1132,sadar masyarakat bersih tumpak sampah kota makassar,positif
1133,sampah sera jalan dampak negatif rusak pandang bau sedap banjir,negatif
1134,fasilitas efisien tangan sampah sadar masyarakat bersih pingkungan,negatif
1135,sampah kota makassar parah parah tpa antang an luas hektar over kapasitas parah pernh riset kondisi kritis tpa tamangappa kritis perintah provinsi sulawesi selatan usul bangun tpa regional mamminasata lokasi camat pattalassang kabupaten gowa hasil rencana kendala semogaa usul tpa mamminasata cepat bangun,negatif
1136,rumit,negatif
1137,heran makassar banjir hujan deras kota makassar langsung banjir sampah buang sampah sungai air luap langsung masuk mukim warga,positif
1138,sampah makassar sadar masyarakat kait bersih lingkung masyarakat buang sampah sera tanggung picu sakit bahaya nyawa manusia perintah masyarakat sadar adakan giat bersih lingkung,positif
1139,program kelola sampah makassar bagus bantu,positif
1140,program kelola sampah makassar bagus bantu,positif
1141,program edukasi sampah plastik manfaat,negatif
1142,program kelola sampah makassar bagus bantu,positif
1143,program kelola sampah makassar bagus bantu,positif
1144,bank sampah langkah edukasi,positif
1145,sampah sungai tindak nyata,negatif
1146,sampah sungai tindak nyata,negatif
1147,program edukasi sampah plastik manfaat,negatif
1148,program kelola sampah makassar bagus bantu,positif
1149,tumpu sampah angkut bermingguminggu,netral
1150,program kelola sampah efektif,positif
1151,sampah plastik dominasi solusi efektif,positif
1152,sampah mudah masyarakat,positif
1153,sampah plastik kelola,negatif
1154,sampah orang buang sampah sembarang,negatif
1155,perintah serius tangan sampah kota,negatif
1156,tingkat kelola sampah kota,negatif
1157,moga tingkat fasilitas kelola sampah lingkung,negatif
1158,perintah serius tangan sampah kota,negatif
1159,bank sampah langkah edukasi,positif
1160,senang bank sampah lingkung,positif
1161,regulasi sampah plastik,negatif
1162,senang bank sampah lingkung,positif
1163,program edukasi daur ulang masyarakat,netral
1164,harap kelola sampah,negatif
1165,program edukasi sampah plastik manfaat,negatif
1166,,netral
1167,sosialisasi daur ulang sampah tingkat,negatif
1168,program edukasi daur ulang masyarakat,netral
1169,tumpu sampah angkut bermingguminggu,netral
1170,senang bank sampah lingkung,positif
1171,moga perintah konsisten kelola sampah kota,positif
1172,kampanye kelola sampah bagus masyarakat,positif
1173,sadar masyarakat rendah buang sampah sembarang,positif
1174,sampah orang buang sampah sembarang,negatif
1175,sampah orang buang sampah sembarang,negatif
1176,senang bank sampah lingkung,positif
1177,tumpu sampah angkut bermingguminggu,netral
1178,tingkat kelola sampah kota,negatif
1179,program kelola sampah makassar bagus bantu,positif
1180,moga tingkat fasilitas kelola sampah lingkung,negatif
1181,kelola sampah makassar tingkat,negatif
1182,kelola sampah makassar tingkat,negatif
1183,sampah sera pinggir jalan ganggu,netral
1184,harap kelola sampah daerah,negatif
1185,kelola sampah makassar tingkat,negatif
1186,sampah orang buang sampah sembarang,negatif
1187,sampah plastik kelola,negatif
1188,perintah serius tangan sampah kota,negatif
1189,kampanye kelola sampah bagus masyarakat,positif
1190,sosialisasi daur ulang sampah tingkat,negatif
1191,tumpu sampah angkut bermingguminggu,netral
1192,kampanye kelola sampah bagus masyarakat,positif
1193,kampanye kelola sampah bagus masyarakat,positif
1194,moga perintah konsisten kelola sampah kota,positif
1195,sampah sungai tindak nyata,negatif
1196,moga perintah konsisten kelola sampah kota,positif
1197,kerjasama warga bersih lingkung kuat,positif
1198,program kelola sampah efektif,positif
1199,lingkung sampah kendali tugas pengankut sampah,negatif
1200,tingkat kelola sampah kota,negatif
1201,ubah kelola sampah,negatif
1202,program lingkung wilayah,netral
1203,proses angkut sampah lambat bikin bau sedap,positif
1204,program edukasi daur ulang masyarakat,netral
1205,sampah mudah masyarakat,positif
