,text_1,english,polarity,score
527,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
528,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
529,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
530,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
531,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
532,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
533,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
534,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
535,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
536,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
537,sampah plastik kelola,manage plastic waste,-0.2,negatif
538,program edukasi daur ulang masyarakat,community recycling education program,0,netral
539,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
540,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
541,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
542,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
543,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
544,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
545,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
546,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
547,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
548,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
549,program lingkung wilayah,regional environmental program,0,netral
550,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
551,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
552,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
553,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
554,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
555,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
556,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
557,program edukasi daur ulang masyarakat,community recycling education program,0,netral
558,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
559,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
560,program kelola sampah efektif,effective waste management program,0.2,positif
561,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
562,sampah mudah masyarakat,society's easy trash,0.433333333,positif
563,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
564,sampah plastik kelola,manage plastic waste,-0.2,negatif
565,program edukasi daur ulang masyarakat,community recycling education program,0,netral
566,program edukasi daur ulang masyarakat,community recycling education program,0,netral
567,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
568,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
569,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
570,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
571,harap kelola sampah,please manage waste,-0.2,negatif
572,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
573,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
574,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
575,program lingkung wilayah,regional environmental program,0,netral
576,program kelola sampah efektif,effective waste management program,0.2,positif
577,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
578,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
579,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
580,sampah plastik kelola,manage plastic waste,-0.2,negatif
581,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
582,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
583,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
584,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
585,program kelola sampah efektif,effective waste management program,0.2,positif
586,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
587,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
588,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
589,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
590,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
591,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
592,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
593,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
594,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
595,harap kelola sampah,please manage waste,-0.2,negatif
596,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
597,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
598,program lingkung wilayah,regional environmental program,0,netral
599,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
600,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
601,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
602,sampah plastik kelola,manage plastic waste,-0.2,negatif
603,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
604,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
605,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
606,program edukasi daur ulang masyarakat,community recycling education program,0,netral
607,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
608,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
609,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
610,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
611,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
612,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
613,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
614,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
615,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
616,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
617,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
618,harap kelola sampah,please manage waste,-0.2,negatif
619,sampah plastik kelola,manage plastic waste,-0.2,negatif
620,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
621,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
622,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
623,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
624,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
625,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
626,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
627,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
628,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
629,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
630,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
631,harap kelola sampah,please manage waste,-0.2,negatif
632,program edukasi daur ulang masyarakat,community recycling education program,0,netral
633,program edukasi daur ulang masyarakat,community recycling education program,0,netral
634,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
635,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
636,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
637,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
638,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
639,sampah plastik kelola,manage plastic waste,-0.2,negatif
640,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
641,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
642,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
643,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
644,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
645,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
646,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
647,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
648,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
649,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
650,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
651,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
652,harap kelola sampah,please manage waste,-0.2,negatif
653,sampah mudah masyarakat,society's easy trash,0.433333333,positif
654,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
655,program edukasi daur ulang masyarakat,community recycling education program,0,netral
656,program kelola sampah efektif,effective waste management program,0.2,positif
657,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
658,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
659,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
660,sampah plastik kelola,manage plastic waste,-0.2,negatif
661,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
662,program kelola sampah efektif,effective waste management program,0.2,positif
663,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
664,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
665,program lingkung wilayah,regional environmental program,0,netral
666,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
667,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
668,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
669,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
670,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
671,harap kelola sampah,please manage waste,-0.2,negatif
672,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
673,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
674,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
675,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
676,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
677,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
678,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
679,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
680,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
681,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
682,program edukasi daur ulang masyarakat,community recycling education program,0,netral
683,program kelola sampah efektif,effective waste management program,0.2,positif
684,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
685,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
686,program kelola sampah efektif,effective waste management program,0.2,positif
687,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
688,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
689,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
690,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
691,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
692,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
693,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
694,program edukasi daur ulang masyarakat,community recycling education program,0,netral
695,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
696,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
697,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
698,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
699,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
700,sampah mudah masyarakat,society's easy trash,0.433333333,positif
701,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
702,sampah mudah masyarakat,society's easy trash,0.433333333,positif
703,program kelola sampah efektif,effective waste management program,0.2,positif
704,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
705,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
706,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
707,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
708,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
709,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
710,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
711,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
712,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
713,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
714,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
715,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
716,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
717,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
718,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
719,sampah mudah masyarakat,society's easy trash,0.433333333,positif
720,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
721,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
722,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
723,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
724,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
725,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
726,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
727,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
728,harap kelola sampah,please manage waste,-0.2,negatif
729,program kelola sampah efektif,effective waste management program,0.2,positif
730,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
731,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
732,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
733,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
734,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
735,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
736,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
737,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
738,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
739,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
740,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
741,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
742,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
743,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
744,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
745,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
746,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
747,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
748,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
749,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
750,sampah plastik kelola,manage plastic waste,-0.2,negatif
751,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
752,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
753,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
754,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
755,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
756,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
757,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
758,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
759,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
760,program kelola sampah efektif,effective waste management program,0.2,positif
761,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
762,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
763,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
764,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
765,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
766,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
767,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
768,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
769,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
770,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
771,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
772,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
773,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
774,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
775,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
776,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
777,program lingkung wilayah,regional environmental program,0,netral
778,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
779,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
780,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
781,program lingkung wilayah,regional environmental program,0,netral
782,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
783,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
784,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
785,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
786,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
787,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
788,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
789,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
790,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
791,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
792,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
793,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
794,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
795,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
796,program lingkung wilayah,regional environmental program,0,netral
797,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
798,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
799,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
800,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
801,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
802,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
803,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
804,harap kelola sampah,please manage waste,-0.2,negatif
805,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
806,harap kelola sampah,please manage waste,-0.2,negatif
807,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
808,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
809,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
810,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
811,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
812,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
813,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
814,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
815,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
816,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
817,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
818,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
819,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
820,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
821,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
822,sampah mudah masyarakat,society's easy trash,0.433333333,positif
823,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
824,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
825,program lingkung wilayah,regional environmental program,0,netral
826,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
827,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
828,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
829,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
830,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
831,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
832,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
833,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
834,program edukasi daur ulang masyarakat,community recycling education program,0,netral
835,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
836,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
837,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
838,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
839,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
840,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
841,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
842,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
843,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
844,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
845,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
846,sampah mudah masyarakat,society's easy trash,0.433333333,positif
847,harap kelola sampah,please manage waste,-0.2,negatif
848,harap kelola sampah,please manage waste,-0.2,negatif
849,program kelola sampah efektif,effective waste management program,0.2,positif
850,program kelola sampah efektif,effective waste management program,0.2,positif
851,program kelola sampah efektif,effective waste management program,0.2,positif
852,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
853,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
854,program lingkung wilayah,regional environmental program,0,netral
855,program edukasi daur ulang masyarakat,community recycling education program,0,netral
856,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
857,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
858,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
859,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
860,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
861,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
862,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
863,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
864,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
865,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
866,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
867,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
868,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
869,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
870,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
871,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
872,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
873,program lingkung wilayah,regional environmental program,0,netral
874,program lingkung wilayah,regional environmental program,0,netral
875,sampah mudah masyarakat,society's easy trash,0.433333333,positif
876,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
877,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
878,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
879,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
880,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
881,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
882,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
883,sampah plastik kelola,manage plastic waste,-0.2,negatif
884,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
885,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
886,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
887,sampah mudah masyarakat,society's easy trash,0.433333333,positif
888,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
889,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
890,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
891,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
892,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
893,harap kelola sampah,please manage waste,-0.2,negatif
894,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
895,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
896,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
897,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
898,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
899,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
900,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
